instrument_token,last_trade_time,last_price,oi_day_high,oi_day_low,volume
779521,2024-04-03 12:09:22,763.1,0,0,4627136
779521,2024-04-03 12:09:22,763.1,0,0,4627136
779521,2024-04-03 12:09:22,763.1,0,0,4627136
779521,2024-04-03 12:09:22,763.1,0,0,4627136
779521,2024-04-03 12:09:22,763.1,0,0,4627136
779521,2024-04-03 12:09:23,763,0,0,4627372
779521,2024-04-03 12:09:23,763,0,0,4627372
779521,2024-04-03 12:09:23,763,0,0,4627372
779521,2024-04-03 12:09:23,763,0,0,4627372
779521,2024-04-03 12:09:23,763,0,0,4627372
779521,2024-04-03 12:09:24,762.95,0,0,4627374
779521,2024-04-03 12:09:24,762.95,0,0,4627374
779521,2024-04-03 12:09:24,762.95,0,0,4627374
779521,2024-04-03 12:09:24,762.95,0,0,4627374
779521,2024-04-03 12:09:24,762.95,0,0,4627374
779521,2024-04-03 12:09:24,762.95,0,0,4627374
779521,2024-04-03 12:09:24,762.95,0,0,4627374
779521,2024-04-03 12:09:24,762.95,0,0,4627374
779521,2024-04-03 12:09:24,762.95,0,0,4627374
779521,2024-04-03 12:09:24,762.95,0,0,4627374
779521,2024-04-03 12:09:25,762.95,0,0,4627387
779521,2024-04-03 12:09:25,762.95,0,0,4627387
779521,2024-04-03 12:09:25,762.95,0,0,4627387
779521,2024-04-03 12:09:25,762.95,0,0,4627387
779521,2024-04-03 12:09:25,762.95,0,0,4627387
779521,2024-04-03 12:09:25,762.95,0,0,4627387
779521,2024-04-03 12:09:25,763,0,0,4627387
779521,2024-04-03 12:09:25,763,0,0,4627387
779521,2024-04-03 12:09:25,763,0,0,4627387
779521,2024-04-03 12:09:25,763,0,0,4627387
779521,2024-04-03 12:09:25,763,0,0,4627387
779521,2024-04-03 12:09:25,763,0,0,4627387
779521,2024-04-03 12:09:25,763,0,0,4627387
779521,2024-04-03 12:09:25,763,0,0,4627387
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:27,763.05,0,0,4627434
779521,2024-04-03 12:09:28,763,0,0,4627732
